"Nid","Title","theme camp","Activity Categories","Long Blurb for website / app","Scheduled activities","Short blurb for the WTF Guide","Type","latitude","longitude","Infustructure"
"6172","Theme Camp Form 3 - WTF Guide 6172","","Adult, Game / Sport","Finally, a friend zone you want to be in! Some say this year's theme is meant just for us, so come PLAY at Tankwa's official Friend Zone, we have all the games to keep you on your game for this year's journey! Hosting fun for every burner out there, from beach bats and swing ball to backgammon and catan - we’ve got you sorted.

We're open all day and every evening and if we don't have the game you want to play, bring your own games to play! 

Check our daily board for exciting night activities like pub quiz and performances.","","Finally, a friend zone you want to be in! Some say this year's theme is meant just for us, so come PLAY at Tankwa's official Friend Zone, we have all the games to keep you on your game for this year's journey! Hosting fun for every burner, all day, from beach bats and swing ball to backgammon and catan - we’ve got you sorted. ","Theme Camp Form 3 - WTF Guide","","",""
"6169","Theme Camp Form 3 - WTF Guide 6169","","Family Friendly, Musical Collaberation, Workshop / Class","The Flow Arts Commune is a collective of burners with a focus on flow, we run workshops on juggling arts through out the day, and provide a platform for others to share their flow, be it a cooking show, stand up comedy, acro-yoga, Lego, knitting, If you want to teach or display your passion, we will help provide a space for you, We also have a chill lounge to come relax and watch our fire shows and performances at camp. We have morning yoga, stretching and evening fire shows.  We run flash mobs around the burn and we're gonna have a fire show and Braai day on one of the days!

Come do a thing! ","Day: SaturdayStart Hour: 19Finish time: 18Description: The Dance of a thousand flames at the clan!, Day: MondayStart Hour: 7Finish time: 21Description: Works shops and shows through out the day every day!","The Flow Arts Commune is a collective of burners with a focus on flow, we run workshops on juggling arts through out the day, and provide a platform for others to share their flow, be it a cooking show, stand up comedy, acro-yoga, Lego, knitting, If you want to teach or display your passion, we will help provide a space for you, We also have a chill lounge to come relax and watch our fire shows and performances at camp. We have morning yoga, stretching and evening fire shows. Come do a thing! ","Theme Camp Form 3 - WTF Guide","","",""
"6166","Theme Camp Form 3 - WTF Guide 6166","","Food / Drink, Party / Gathering","Mad Mikes Desert Playhouse is a Champagne Drinking Hole, because no great story began with a salad... 
Indulge in a glass of champagne as the soothing sounds of our chilled cafe music prepares you for your next adventure. We are open Monday to Wednesday 12:00-15:00 and Thursday to Saturday 17:00 - 21:00.","Day: MondayStart Hour: 12Finish time: 15Description: Drinking, Day: TuesdayStart Hour: 12Finish time: 15Description: More Drinking , Day: WednesdayStart Hour: 12Finish time: 15Description: Drinking Again, Day: ThursdayStart Hour: 17Finish time: 21Description: Further Drinking, Day: FridayStart Hour: 17Finish time: 21Description: Drinking Once More, Day: SaturdayStart Hour: 17Finish time: 21Description: Drinking Predicted","Mad Mikes Desert Playhouse - A Champagne Drinking Hole - because no great story began with a salad...
Open Monday to Wednesday @ 12:00 - 15:00 and Thursday to Saturday @ 17:00 - 21:00.","Theme Camp Form 3 - WTF Guide","","",""
"6164","The Yellow Brick Road","","","","","","Artwork Registration","","",""
"6163","Theme Camp Form 3 - WTF Guide 6163","","Family Friendly, Food / Drink, Game / Sport, Ritual / Ceremony","Dawn - A morning altar to the great god of the morning. We rise before dawn and begin our morning celebration where we give thanks to the sacred bean. We brew carefully and with love and serve to those dawn souls seeking comfort in an energising beverage as we greet the morning sun together. Gather with us as we plan the day and we'll share our lovely homebaked, organic special treats with you. 

All day - drop in for a card game, a chat, a chill, or, if you are feeling like searching - ask the psychic to read your Tarot. 

Evening - check board for special night time treats. Will include champagne when we're feeling inspired. ","Description: morning - open for coffee and baked treats

All day - drop in for a card game, a chat, a chill, or, if you are feeling like searching - ask the psychic to read your Tarot. 

Evening - check board for special night time treats. Will include champagne when we're feeling inspired. ","Dawn - A morning altar to the great god of the morning. We rise before dawn and begin our morning celebration where we give thanks to the sacred bean. We brew carefully and with love and serve to those dawn souls seeking comfort in an energising beverage as we greet the morning sun together. Gather with us as we plan the day and we'll share our lovely homebaked, organic special treats with you. 

All day - drop in for a card game, a chat, a chill, or, if you are feeling like searching - ask the psychic to read your Tarot. 

Evening - check board for special night time treats. Will include champagne when we're feeling inspired. ","Theme Camp Form 3 - WTF Guide","","",""
"6161","Theme Camp Form 3 - WTF Guide 6161","","Family Friendly","Feel calm, centered and creative. Go within and then expand outward with a short led mediation, followed by some sort of movement, stretching or breathing exercise. Enjoy some tea (please bring a mug) accompanied by chilled sounds as we ease into the day. Join our communal table and paint mandalas, the beautiful and ancient exercise in centering, meditation and creativity. Expect some madness with the random G&T parties. Chill lounge after dark
PLANNED ACTIVITIES (check board for changes)
8- 9: meditation followed by exercise
9-10: tea
10 to early afternoon: mandala painting
9 to 11: evening chill lounge","","Feel calm, centered and creative. Go within and then expand outward with a short led mediation, followed by some sort of movement, stretching or breathing exercise. Enjoy some tea (please bring a mug) accompanied by chilled sounds as we ease into the day. Join our communal table and paint mandalas, the beautiful and ancient exercise in centering, meditation and creativity. Expect some madness with the random G&T parties. Chill lounge after dark.
PLANNED ACTIVITIES (check board for changes)
8- 9: meditation followed by exercise  
9-10: tea
10 to early afternoon: mandala painting
9 to 11: evening chill lounge","Theme Camp Form 3 - WTF Guide","","",""
"6159","Theme Camp Form 3 - WTF Guide 6159","","Game / Sport, Musical Collaberation, Party / Gathering","The Underpants Hotel welcomes you to our fine desert establishment. Step through our whimsical front entrance and allow our bellboy to take that weight off your waists,  checking your pants into our internationally acclaimed pants storage facility. In our lobby you can relax and unwind in an area of comfort and wonder, whilst entertaining yourself with our oversized games and going wild on our dance floor with a world class line up","Day: ThursdayStart Hour: 18Finish time: 24Description: Underpants Hotel Party night, Day: FridayStart Hour: 18Finish time: 24Description: Underpants Hotel Party night, Day: SaturdayStart Hour: 18Finish time: 24Description: Underpants Hotel Party night","Hello & welcome to the Underpants Hotel. Ring the bell & let our bellboy escort you into the world of Underwear. Please check your pants & ego's in at the front desk.","Theme Camp Form 3 - WTF Guide","","",""
"6157","Theme Camp Form 3 - WTF Guide 6157","","Party / Gathering","Samara will be a number of things. First and foremost, it will be a home to the members of the Vibe Tribe. This home will be comfortable, beautiful and inviting space with large poofs, scatter cushions, crazy outfits and beautiful decor. 

In 2017, Camp Samsara will also be gifting burners with a sacred sanctuary where morning yoga will be practiced. You can start your day with a morning yoga session guided by a fellow burner yogi

Following on in Vibe Tribe tradition, Samsara will also host one of Tankwa's dancefloors. Burners are invited to come and dance to the groovy sunset tunes or to take some time out in the beautiful Moroccan style chill area. This will be accommodated by ice cold gin and tonics at sunset.

Everyday 8:30ish: Yoga
Monday to Wednesday midday - late: Samsara Sounds 
Thursday to Saturday midday - sunset: Samsara Sounds with sunset G&T's","Day: ThursdayStart Hour: 12Finish time: 8Description: Samsara Sounds
Thursday to Saturday
Midday to sunset.
Come and get groovy at one of Tankwa's favourite dancefloors! At sunset we will be serving ice cold G&T's. 
, Day: MondayStart Hour: 8Finish time: 9Description: Daily yoga sessions guided by fellow burner yogi's. Check chalk board for schedule., Day: MondayStart Hour: 12Finish time: 24Description: Samsara Sounds
Monday to Wednesday 
Midday till late.
Come and get groovy at one of Tankwa's favourite dancefloors! 
","Samsara is a number of things! It is a beautiful, inviting and comfortable space which is home to the members of the Vibe Tribe. This space will also be a sacred sanctuary where you can start your day with a morning yoga session guided by a fellow burner yogi. In the afternoons, one of the Tankwa's favourite dancefloors comes to life. Burners are invited to come and dance to the groovy sunset tunes or to take some time out in the beautiful Moroccan style chill area. This will be accommodated by ice cold gin and tonics at sunset.

Everyday 8:30ish: Yoga
Monday to Wednesday midday - late: Samsara Sounds 
Thursday to Saturday midday - sunset: Samsara Sounds with sunset G&T's","Theme Camp Form 3 - WTF Guide","","",""
"6156","Theme Camp Form 3 - WTF Guide 6156","","Care and Support, Family Friendly, Food / Drink","Over the dusty horizon, in the glimmering heat you notice a couple of figures emerging as they travel through the Tankwa. What will these nomads offer? A dash of espresso to give you a kick in the morning? Soothing massages to ease your exhausted body? Some popcorn to munch while gawking at artworks being burned to the ground? Body art to carry the memory of your encounter? Some herbal tea to quench your thirst in the unforgiving landscape? Or a delectable drink to sip whilst being mesmerised by our African sunset? Well, whatever it is they are bringing to you...be ready. We can pop up anywhere and anytime.","","Over the dusty horizon, in the glimmering heat you notice a couple of figures emerging as they travel through the Tankwa. What will these nomads offer? A dash of espresso to give you a kick in the morning? Soothing massages to ease your exhausted body? Some popcorn to munch while gawking at artworks being burned to the ground? Body art to carry the memory of your encounter? Some herbal tea to quench your thirst in the unforgiving landscape? Or a delectable drink to sip whilst being mesmerised by our African sunset? Well, whatever it is they are bringing to you...be ready. We can pop up anywhere and anytime.","Theme Camp Form 3 - WTF Guide","","",""
"6155","BE SEEN","","","","","","Artwork Registration","","",""
"6152","Theme Camp Form 3 - WTF Guide 6152","","Care and Support, Family Friendly, Game / Sport, Party / Gathering","Hot ecologically friendly showers!
Rejuvenate your beautiful body with our warm and welcoming waters. Wash off the old and
embrace the new with a fresh cleanse. It’s a new beginning. It’s a revival to the mind, body and
soul.
You are free to choose when to start your vibrant new beginning. Yes, our hot showers run from
sunrise to sunset. We are fully equipped with bio degradable soap and a camp filled with love to
keep you company.
Come play in our showers, you are all invited.

We do hot showers.
We don’t fool around. We dirty. We clean. We shower. We warm. We play in the shower. Warm
shower.
We shower with love. We love with our shower.
We use eco friendly soap. We borrow water from river. We wash. We drip. We dry. You come you
go. You clean. Go play. Now go. Go with the flow","","Hot ecologically friendly showers!
Rejuvenate your beautiful body with our warm and welcoming waters. Wash off the old and
embrace the new with a fresh cleanse. It’s a new beginning. It’s a revival to the mind, body and
soul.
You are free to choose when to start your vibrant new beginning. Yes, our hot showers run from
sunrise to sunset. We are fully equipped with bio degradable soap and a camp filled with love to
keep you company.
Come play in our showers, you are all invited.","Theme Camp Form 3 - WTF Guide","","",""
"6144","Theme Camp Form 3 - WTF Guide 6144","","Family Friendly, For the Kids, Musical Collaberation, Party / Gathering","SplashBizarre
Desert Rain - Sparkling drops of water under the hot  tankwa sun.
Stand or Frolic under the dancing water droplets! As the majestic swirling  sprinklers cool you down like the desert rain feeds our barren souls.

4 Copper Sprinklers will be placed in a splash pool

We hope to include a gas driven burning sprinkler for short periods during the hours of darkness. (depending on some arbitrary engineering miracle!)

Our pool will have a carpeted entrance with a lounge area. Guests at the Splash-bizarre will be required to remove their shoes and any other items of clothing as their desire so grabs them in order to enter the pool area.

open from 10 to 12 & 2 to 4. Check out our notice board for more!","","SplashBizarre
Desert Rain - Sparkling drops of water under the hot  Tankwa sun.
Stand or Frolic under the dancing water droplets! As the majestic swirling  sprinklers cool you down like the desert rain feeds our barren souls.

4 copper Sprinklers will be placed in a splash pool

We hope to include a gas driven burning sprinkler for short periods during the hours of darkness. (depending on some arbitrary engineering miracle!)

Our pool will have a carpeted entrance with a lounge area. Guests at the Splash-bizarre will be required to remove their shoes and any other items of clothing as their desire so grabs them in order to enter the pool area.

open from 10 to 12 & 2 to 4. Check out our notice board for more!","Theme Camp Form 3 - WTF Guide","","",""
"6143","Street Spoken Word","","","","","","Performance Registration","","",""
"6142","Suboogiemarine","","","","","","Performance Registration","","",""
"6137","Theme Camp Form 3 - WTF Guide 6137","","Family Friendly, Food / Drink, Musical Collaberation","Welcome to Fractal Chill Ethiopian Tea and Coffee house , we have been serving our Brews since 2013. 
We have grown from  having 1 coffee pot to a Bedouin  style cafe housed in a Nomadic  tent, of 10m x 7,5m. The entire tent is decorated with cloth and lights to reinforce your nomadic desert experience . We are an Afrika Burn  Bedouin wonderland. 

Comfort is the experience equaliser at the burn , so we offer you a  carpeted lounge with inflatable couches  for half our visitors and the rest get to enjoy parking on our rugs  . We seat around 100 people and it takes roughly 40 minutes to work your way through all our  brews . 

We open at 13-00 sharp after whether proofing and decor adjusting .  

We first serve the Pineapple rooibos to clear the thirst . Then the Moroccan mint that is poured from a thin spout to air-rate the tea . Then we serve the Chai and finally the Coffee is served .

A word on the Brewing process. We have a clay oven we build outside the tent . this wood burning over is a sacred oven and is used to make all of our brews  . 

Our Coffee Maister takes care of the  5 Ethiopian coffee pots , 1 for each year we have been offering our Afrika Burn Special Arabica , much needed , Coffee . Our Chai  Maister, a second generation Chai Wala , who will be  brewing the finest Chai on the Playa as normal .  Our Moroccan mint is poured gracefully from a fine silver tea pot , in a thin stream into the little coffee cup , this always creates some theatrics . Our Rooibos , Pineapple ginger  brew is a home made blend , using the finest Cape Rooibos and is just what we all need when getting comfortable in the Cafe .

We serve fruit , biscuits and popcorn to accompany your beverages . 

In the middle of the tent  is our Percussion Jam equipment . We have a cluster of instruments for muso's to pull in and play . Our resident Music Maister encourages the jam and has a nose to sniff out a crew of impromptu merry music makers . From around 14-00  the music Maister and his band of jammers get going all afternoon
The sound of the jam will  guide you to us like moths to a flame .

Its the last pot of coffee and the end of the day that signals the end of another great day at Fractal Chill , we close around 17-00 .","","Welcome to Fractal Chill Ethiopian Tea and Coffee house ,  serving our Brews since 2013. 
We have grown from  1 coffee pot to a Bedouin  style cafe housed in a Nomadic  tent  decorated with cloth ,  lights , reinforcing your nomadic desert experience . 
Comfort is paramount and scarce  at the burn , so  we offer you a  carpeted lounge with inflatable couches . We seat  100 people ,  it takes roughly 40 minutes to work your way through our brews . We open at 13-00 

We serve Pineapple ginger rooibos to clear the thirst , followed by Moroccan mint  ,  poured from a thin spout to air-rate the tea . Finally we  serve Chai and Coffee .

We have a clay  wood burning oven  to make all of our brews  . 

Our Coffee Maister brews a Burn favourite , pure arabica coffee beans  in Ethiopian coffee pots . Our Chai  Maister, a second generation Chai Wala , brews the finest Chai on the Playa by far . 
Expect to snack on  fruit , biscuits and popcorn  . 

Our resident Music Maister encourages the jam and has a nose to sniff out a crew of impromptu merry music makers . From around 14-00  the music Maister and his band of jammers get going all afternoon.

Its the last pot of coffee and the end of the day that signals the end of another great day at Fractal Chill , we close around 17-00 ,. ","Theme Camp Form 3 - WTF Guide","","",""
"6136","Theme Camp Form 3 - WTF Guide 6136","","Adult","Afrika burn? Sun burn? Purple burn!
Come feel the burn! Need to release your inner submissive...
Let the Purple Spankers take care of that with our hand selected range of Spanking tools. Come for a good old fashioned spanking  then find a place to rest your tender rump in our chill lounge.
But wait, there's more! 
The purple playground will be bigger and better this year...come play twisted twister with us and if you need some guidance visit our tantalizing tarot reader.

Last but not least, our (in)famous breakfast spanks will get your day off to a playfully pleasurable start.","Day: SaturdayStart Hour: 7Finish time: 9Description: Pop up breakfast likely to be thursday friday and saturday, Description: Spanking open every day - manned with Spankers daily until Burns take place but while we are away the spanking props will be available for use, Start Hour: 2Finish time: 3Description: Daily tarot readings , Start Hour: 2Finish time: 4Description: Daily games - Twisted Twister and Burnardes","Afrika burn? Sun burn? Purple burn!
Come feel the burn! Need to release your inner submissive...
Let the Purple Spankers take care of that with our hand selected range of Spanking tools. Come for a good old fashioned spanking  then find a place to rest your tender rump in our chill lounge.
But wait, there's more! 
The purple playground will be bigger and better this year...come play twisted twister with us and if you need some guidance visit our tantalizing tarot reader.

Last but not least, our (in)famous breakfast spanks will get your day off to a playfully pleasurable start.
","Theme Camp Form 3 - WTF Guide","","",""
"6133","Theme Camp Form 3 - WTF Guide 6133","","Party / Gathering","Long has the rhythm of the earth been determined by the vibrations of music. The flame in our hearts is beating in tune! Come feel the love on Rum and Reggae Day, or dance to Techno and Tequila just before May. Be the Punk with Punch unleashed and come over indulge in Brandy and Boeremusiek!
(Please check our board)","Day: Wednesday, Day: Thursday, Day: Friday, Day: Saturday","Long has the rhythm of the earth been determined by the vibrations of music. The flame in our hearts is beating in tune! Come feel the love on Rum and Reggae Day, or dance to Techno and Tequila just before May. Be the Punk with Punch unleashed and come over indulge in Brandy and Boeremusiek!
Please check our board for which theme is on which day","Theme Camp Form 3 - WTF Guide","","",""
"6132","Up's and down's","","","","","","Artwork Registration","","",""
"6131","Theme Camp Form 3 - WTF Guide 6131","","Family Friendly","Some time during the last few years a video was shared about a Dr Seuss poem called, The Places you'll go. See it here: https://www.youtube.com/watch?v=ahv_1IS7SiE

I love that.

Our camp for 2017 will be to shoot a similar video - I want Afrikaburn visitors to come past our camp, to find sunscreen to be put on.  While they are there we will be asking them for a line, dressed in their favourite outfit and with their most fun way to do this - out of the poem called: Trust me on the Sunscreen. 


Watch the Dr Seuss video, then read the Sunscreen poem, and imagine all the delightful costumes and people at Tankwa - creating a unique video with a fantastic message.

Once collected, from a few selectively placed cameras in and outside our camp, we'll be compiling a video after the 2017 Afrikaburn, and share the new African version of this video, for everyone to enjoy and share.

Our video crew is professional (as in good, not as in paid), and our editing world-class.

You'll get a production of note and delight.

Oh and as a side note-  it's my 50th and all people in the theme camp will be friends celebrating my half century with me.

Trust me on the Sunscreen:

Ladies and Gentleman, 
Wear sunscreen.
If I could offer you only one tip for the future, sunscreen would be it.

The long term benefits of sunscreen have been proved by scientists, whereas the rest of my advice has no basis more reliable than my own meandering experience... 

I will dispense this advice now.

Enjoy the power and beauty of your youth; oh nevermind; you will not understand the power and beauty of your youth until they have faded.

But trust me, in 20 years you'll look back at photos of yourself and recall in a way you can't grasp now how much possibility lay before you and how fabulous you really looked... 

You're not as fat as you Imagine.

Don't worry about the future; or worry, but know that worrying is as effective as trying to solve an algebra equation by chewing bubblegum.

The real troubles in your life are apt to be things that never crossed your worried mind.
The kind that blindside you at 4pm on some idle Tuesday.

Do one thing everyday that scares you.

Sing.

Don't be reckless with other people's hearts, don't put up with people who are reckless with yours.

Floss.

Don't waste your time on jealousy; 
Sometimes you're ahead, 

Sometimes You're behind.

The race is long, and in the end, it's only with yourself.

Remember the compliments you receive, forget the insults; 
If you Succeed in doing this, tell me how.

Keep your old love letters, throw away your old bank statements.

Stretch.

Don't feel guilty if you don't know what you want to do with your Life.
The most interesting people I know didn't know at 22 what they wanted to do with their lives, some of the most interesting 50 year olds I know still don't.

Get plenty of calcium.

Be kind to your knees, you'll miss them when they're gone.

Maybe you'll marry, maybe you won't, maybe you'll have children, maybe you won't, maybe you'll divorce at 40, maybe you'll dance the funky chicken on your 75th wedding anniversary.

Whatever you do, don't Congratulate yourself too much or berate yourself either.
Your choices are half chance, so are everybody else's.

Enjoy your body, Use it every way you can... Don't be afraid of it, or what other people Think of it, 
It's the greatest instrument you'll ever own... 

Dance... even if you have nowhere to do it but in your own living room.

Read the directions, even if you don't follow them.

Do NOT read beauty magazines, they will only make you feel ugly.

Get to know your parents, you never know when they'll be gone for good.

Be nice to your siblings; 
They are the best link to your past and the people most likely to stick with you in the future.

Understand that friends come and go, but for the precious few you should hold on.

Work hard to bridge the gaps in geography and lifestyle because the older you get, the more you need the people you knew when you were young.

Live in Johannesburg once, but leave before it makes you hard; 
Live in Durban once, but leave before it makes you soft.

Travel.

Accept certain inalienable truths, prices will rise, politicians will Philander, you too will get old, and when you do you'll fantasize that when you were young prices were reasonable, politicians were noble and children respected their elders.

Respect your elders.

Don't expect anyone else to support you.
Maybe you have a trust fund, Maybe you have a wealthy spouse; but you never know when either one might run out.

Don't mess too much with your hair, or by the time you're 40, it will look 85.

Be careful whose advice you buy, but, be patient with those who supply it. 

Advice is a form of nostalgia, dispensing it is a way of fishing the past from the disposal, wiping it off, painting over the ugly parts and recycling it for more than it's worth.

But trust me on the sunscreen...","","Some time during the last few years a video was shared about a Dr Seuss poem called, ""The Places you'll go"". See it here: https://www.youtube.com/watch?v=ahv_1IS7SiE

I love that.

Our theme camp for 2017 will be to shoot a similar video - I want Afrikaburn visitors to come past our camp, to find sunscreen to be put on.  
While they are there we will be asking them for a line, dressed in their favourite outfit and with their most fun way to do this - out of the poem called: 
Trust me on the Sunscreen.

Watch the Dr Seuss video, then read the Sunscreen poem, and imagine all the delightful costumes and people at Tankwa - creating a unique video with a fantastic message.

Once collected, from a few selectively placed cameras in and outside our camp, we'll be compiling a video after the 2017 Afrikaburn, and share the new African version of this video, for everyone to enjoy and share.

Please come and find us ...and give us your most memorable line!
","Theme Camp Form 3 - WTF Guide","","",""
"6129","Theme Camp Form 3 - WTF Guide 6129","","Party / Gathering","Camp Love Your Planet (LYP) have called AfrikaBurn home since the early pioneering days. We are a collective of contemporary eco-focussed Capetonians inspired by hemp, conservation and positive  karma. Our legendary mutant Rhino - Loki, has rocked the Tankwa earth for the last three years and promises to again bring the unique combination of eclectic beats, spiritual healing and visual energy. Keep an eye out for the flaming horn and hot pink LED silhouette roaming the desert. This year we have a special treat with DJ Wanklemut joining the rhino residents to inject a little European flavour. Come chill at  camp LYP between the binne and buite-krings on 7ish, and join us for a vodka ""punch-up"" street party on the Friday before the burn.","Start Hour: 2Finish time: 19Description: Come chill at  camp LYP between the binne and buite-krings on 7ish, and join us for a vodka ""punch-up"" street party on the Friday before the burn, 14:00 till sunset. 

If the weather looks like its going to throw some lemons on the Friday then the party will be either Thursday or Saturday.","Camp Love Your Planet (LYP) and our legendary mutant Rhino - Loki, have rocked the Tankwa earth for the last three years and promises to again bring the unique combination of eclectic beats, spiritual healing and visual energy. 
Keep an eye out for the flaming horn and hot pink LED silhouette roaming the desert. This year we have a special treat with DJ Wanklemut joining the rhino residents to inject a little European flavour. 
Come chill at  camp LYP between the binne and buite-krings on 7ish, and join us for a vodka ""punch-up"" street party on the Friday before the burn.","Theme Camp Form 3 - WTF Guide","","",""
"6125","Theme Camp Form 3 - WTF Guide 6125","","Care and Support, Family Friendly, Food / Drink, Game / Sport","The Ink Tribe is back with the fabulous silkscreen gift that keeps on giving.  Bring your t-shirt, an article of clothing or fabric and we will silkscreen it with this year’s playful BURNT print logo.  Open daily 9 - 12ish.  In the afternoons, professional henna artists will be inking your bodies.  If that sounds too ticklish, come and play giant Pick-up-Sticks instead.  In the evening, we’ll keep a fire burning to keep you warm or shine a light on your way home.  There is also the possibility of late night soup (bring your own mug).  ","Description:  ","Have the new Play BURNT logo printed on your Tshirt and take a memory home.  Daily 9 - 12ish.    Henna in the afternoon.  Pick-Up-Sticks at tea time.  Warm braziers burning after dark.","Theme Camp Form 3 - WTF Guide","","",""
"6124","Justine's Tower of Remembrance ","","","","","","Artwork Registration","","",""
"6122","Serinity","","","NA","","I do not intend for this to be apart of the WTF guide, I just want to make sure that I am able to use the vehcile this year. 
I will probably be happy to use the vehicle next in next years WTF guide as it will be built","Mutant Vehicles","","",""
"6119","Theme Camp Form 3 - WTF Guide 6119","","Food / Drink, Party / Gathering","Everyone already knows the jungle is massive, but did you know it was loud too?  Beasts and beats abound, the safest place is in the light. 
Stumble over to Jungle Juice where we will be letting the monkeys out daily to serve wicked jungle cocktails and swing to the sounds of our great apes on the decks.  Our trained monkeys play house and techno in the day, and crank it up for the nocturnal creatures, playing psytrance into the night.
We aim for sunset, but often miss.  Check the board outside for serving times!  
Wristbands will be checked before serving so no monkey business!","Day: MondayStart Hour: 13Finish time: 15Description: Welcome drinks and sound check, Day: WednesdayStart Hour: 17Finish time: 19Description: Sundowner cocktails with our resident DJs, Day: FridayStart Hour: 9Finish time: 11Description: That Friday feeling wake up!  Psytrance to get ready for the weekend!","Everyone already knows the jungle is massive, but did you know it was loud too?  Stumble over to Jungle Juice where we will be letting the monkeys out daily to serve wicked jungle cocktails and swing to the sounds of our great apes on the decks.  We aim for sunset, but often miss.  Check the board outside for serving times!  
Wristbands will be checked before serving so no monkey business!","Theme Camp Form 3 - WTF Guide","","",""
"6115","Spirit of the burn ","","","","","","Performance Registration","","",""
"6111","Neo Spectrum","","","","","","Artwork Registration","","",""
"6110","The Magic School Bus","","","If you don't have the balance for a bicycle, if you dont have the krag for a half iron man, if you wanna go somewhere but dont have the lis come and flag us down and get a lift. ","","Blast from the past, who doesnt love the adventures of ""the Magic School Bus"". If you see us headed in a direction flag us down. ","Mutant Vehicles","","",""
"6108","Theme Camp Form 3 - WTF Guide 6108","","Adult","Metastofasis are, what's the word I am looking for, ummm, on the tip of the keyboard....got it.....AMAZING!  We have the best lumo pancakes EVER, made from free range irradiated pixie blood and a dash of unicorn piss.  We offer other activities, including manicures, making your own Scooby bracelets, Twisted Twister, Musical Squares and more.  Metastofasis also have LEtsGo Party, a Barbie themed mutant vehicle that runs when the driver has the urge.","Day: MondayStart Hour: 19Finish time: 21Description: Lumo pancakes are from sunset until the mixture runs out, so hours shown are on the 'ISH side. Monday to Saturday

Manicures will be done daily at around 4'ish (pm of course). Monday to Friday.

Scooby wire is in a container for anyone, anytime to unleash their creativity.
Games will be played when hangovers relinquish their hold (you tell us the time).

Mutant runs randomly, so no times required (by NASA, the UN, the FBI, CIA, MI5 or any other agency).

A whiteboard will have more details of other activities, such as the Twisted Twister, Musical Squares etc.","Metastofasis are, what's the word I am looking for, ummm, on the tip of the keyboard....got it.....AMAZING!  We have the best lumo pancakes EVER, made from free range irradiated pixie blood and a dash of unicorn piss.  We offer other activities, including manicures, making your own Scooby bracelets, Twisted Twister, Musical Squares and more.","Theme Camp Form 3 - WTF Guide","","",""
"6102","Gullinbursti","","","Gullinbursti, the boar from the north is shaking its golden bristles to the frequencies we love. Hailing from Yggdrasil it’s looking for you to raise dust and bring a light to your house. Meditation or ecstasy, loose yourself to dance. 

(more to follow)","","Gullinbursti, the boar from the north is shaking its golden bristles to the frequencies we love. Hailing from Yggdrasil it’s looking for you to raise dust and bring a light to your house. Meditation or ecstasy, loose yourself to dance. ","Mutant Vehicles","","",""
"6101","Kontrapunkt","","","","","","Artwork Registration","","",""
"6097","Theme Camp Form 3 - WTF Guide 6097","","Family Friendly, Game / Sport","Camp Stardust explosively beautiful presents 
                               ""Cum Play"". 
The Beautification Station - back by popular demand, come freshen up or try a new look. We also feature the return of the Wild Watermelons and Galaxy.  Wander through the stars, “fluff” yourself at the beautification station, doodle at the art, or be daring and get a watermelon to blow its load.
Cum Play with us!","Start Hour: 10Finish time: 21Description: Open all days from 10ish till late. Come and fluff out your tail feathers at the beautification station. Lip-ice, makeup and wipe will be gifted to help. Take a chance with a watermelon while appreciating the art.In the evening, come take a stroll in galaxy and become a star!","Camp Stardust explosively beautiful presents 
                            ""Cum Play"". 
The Beautification Station - back by popular demand, come freshen up or try a new look. We also feature the return of the Wild Watermelons and Galaxy.  Wander through the stars, “fluff” yourself at the beautification station, doodle at the art, or be daring and get a watermelon to blow its load.
Cum Play with us!","Theme Camp Form 3 - WTF Guide","","",""
"6090","Theme Camp Form 3 - WTF Guide 6090","","Care and Support, Family Friendly, Workshop / Class","We will be available for thirst quencing chats in our shack about life's questions. 
Open daily form 10h00 till 20h00","","We will be available for thirst quencing chats in our shack about life's questions. 
Open daily form 10h00 till 20h00","Theme Camp Form 3 - WTF Guide","","",""
"6088","Holly Hippopotamus","","","I had a dream. And in the dream I was galloping across the desert on a big pink hippopotamus. Some dreams do come true... 

Holly is a ginormous pink fluffy Hippopotamus with room on her ample soft cuddly posterior for a few weary souls wandering the desert. Who doesn't want to ride on a pink hippopotamus?
","","I had a dream. And in the dream I was galloping across the desert on a big pink hippopotamus. Some dreams do come true... 

Holly is a ginormous pink fluffy Hippopotamus with room on her ample soft cuddly posterior for a few weary souls wandering the desert. Who doesn't want to ride on a pink hippopotamus?
","Mutant Vehicles","","",""
"6080","The Drunk Sanchez","","","A pile of junk built into space vehicle in back of some dudes garage. Let just say Space X could lern a lot from us.","","A space traveling pile of junk even Elon Musk would be pround of.","Mutant Vehicles","","",""
"6079","Alienz Abductor","","","When you are weary of walking the long beautiful roads of Afrikaburn, You might be lucky and be abducted by the Alienz Abductor, for an out of this world ride. We might even drop you off for Alienz Cappuccino, Coffee or tea at the Alienz Coffee Shop where you can apply for asylum to the planet of your choice.","","When you are weary of walking the long beautiful roads of Afrikaburn, You might be lucky and be abducted by the Alienz Abductor, for an out of this world ride. We might even drop you off for Alienz Cappuccino, Coffee or tea at the Alienz Coffee Shop where you can apply for asylum to the planet of your choice.","Mutant Vehicles","","",""
